Study,Authors,Year (online),Year (print),Title,,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.var,ctrl.vartype,ctrl.sd,oa.n,oa.mean,oa.var,oa.vartype,oa.sd,lnRR,|lnRR|,Raw mean |lnRR|,Notes,Precise sample size description in text?,Sample size source
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Xanthostemon cue,Larvae,26,94.1290,0.5870,SE,2.9931,46,72.7890,1.9570,SE,13.2730,-0.2571,0.2571,1.5607,Used cue treatments only for Fig 1 because behaviour was tested as choice (and including a choice of seawater vs. seawater therefore is not appropriate),Y,Provided in figures
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Habitat,% time in Melaleuca cue,Larvae,20,0.7830,0.7830,SE,3.5017,46,83.5620,1.5660,SE,10.6211,4.6702,4.6702,,Added .0001 to zero values (variance),,
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Habitat,% time in Grass cue,Larvae,20,46.3800,3.1310,SE,14.0023,46,71.4290,1.9570,SE,13.2730,0.4318,0.4318,,,,
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Habitat,% time in anemone cue,Larvae,10,98.8260,0.5870,SE,1.8563,16,88.2580,1.7610,SE,7.0440,-0.1131,0.1131,,,,
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Kin,% time in Parent vs Seawater cue,Larvae,30,0.9120,0.5470,SE,2.9960,20,99.8180,0.0001,SE,0.0045,4.6955,4.6955,,,,
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Seawater cue,Larvae,30,90.8760,0.7300,SE,3.9984,20,99.8180,0.0001,SE,0.0045,0.0939,0.0939,,,,
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish., ,PNAS,9.432,9.504,,,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Parent cue,Larvae,30,96.3500,0.7300,SE,3.9984,20,49.6350,0.5470,SE,2.4463,-0.6633,0.6633,,,,
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs.  pred 1",Larvae,45,9.6470,1.5870,SE,10.6459,45,7.9370,1.0580,SE,7.0973,-0.1951,0.1951,4.8112,Added .0001 to zero values (means + variance),N,"Provided in text: ""at least 15 randomly selected larvae were tested for each""; precise values not provided, so we used 15 from the description in the text."
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,,,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs. pred 2",Larvae,45,10.0640,0.0010,SE,0.0067,45,10.5820,1.0580,SE,7.0973,0.0502,0.0502,,,,
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,,,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 1",Larvae,45,14.054,0.541,SE,3.6291,45,14.5160,0.5380,SE,3.6090,0.0323,0.0323,,,,
