study,year.online,ctrl.n,lnrr.mag
a13,2012,30,0.0513
a13,2012,30,0.1054
a13,2012,30,0.1054
a13,2012,30,0.0599
a13,2012,30,0.0482
a13,2012,30,0.0482
a16,2012,22,0.1417
a18,2012,60,0.0736
a18,2012,60,0.0515
a18,2012,60,0.068
a18,2012,60,0.029
a18,2012,60,0.1115
a18,2012,60,0.024
a18,2012,60,0.0506
a18,2012,60,0.1684
a18,2012,60,0.0649
a18,2012,60,0.1881
a18,2012,60,0.1421
a18,2012,60,0.1537
a19,2013,14,0.5575
a19,2013,7,0.4849
a20,2013,19,0.0479
a20,2013,19,0.0129
a21,2013,20,0.6616
a21,2013,25,1.2456
a21,2013,20,1.5927
a21,2013,20,0.2794
a21,2013,20,1.78
a26,2014,60,0.1532
a26,2014,60,0.257
a26,2014,60,0.1553
a26,2014,60,0.2352
a29,2014,7,0.7331
a29,2014,6,0.7365
a30,2013,15,0.4949
a30,2013,7,0.5257
a32,2014,10,0.6822
a32,2014,10,0.674
a32,2014,10,0.9842
a34,2015,5,0.0298
a34,2015,5,0.5306
a34,2015,5,0
a34,2015,5,0.7473
a34,2015,5,0.1503
a34,2015,5,0.9163
a34,2015,5,0.3365
a34,2015,5,1.0481
a34,2015,5,1.6094
a34,2015,5,0
a34,2015,5,0.8106
a34,2015,5,0.7348
a34,2015,5,0.592
a34,2015,5,1.4917
a34,2015,5,0.6936
a36,2015,6,1.3944
a36,2015,6,0.2689
a36,2015,6,0.0834
a36,2015,6,0.5333
a36,2015,6,0.869
a36,2015,6,1.4404
a36,2015,6,0.0861
a39,2015,22,0.2225
a39,2015,22,0.1231
a39,2015,21,0.2064
a40,2015,12,0.8513
a40,2015,11,0.7833
a41,2015,19,0
a41,2015,19,0
a41,2015,20,0.1773
a41,2015,20,0.0381
a41,2015,43,0.0874
a41,2015,43,0.0061
a41,2015,19,0.2919
a41,2015,19,0
a41,2015,25,0.1319
a41,2015,25,0.2334
a42,2015,15,0.1873
a42,2015,15,0.7176
a42,2015,14,1.0149
a42,2015,14,0.641
a42,2015,14,1.5438
a42,2015,15,0.468
a42,2015,15,0.3054
a42,2015,15,0.0403
a42,2015,15,0.2678
a42,2015,15,0.4855
a42,2015,15,0.821
a42,2015,15,0.3502
a42,2015,15,0.1798
a42,2015,14,1.3083
a42,2015,14,0.166
a42,2015,14,0.1974
a42,2015,14,0.1904
a42,2015,14,0.6343
a42,2015,14,0.9671
a42,2015,14,0.3034
a42,2015,14,0.0278
a43,2015,4,0.1387
a43,2015,7,1.5964
a45,2016,90,0.1481
a48,2016,14,0.2893
a48,2016,7,0.2742
a52,2015,73,0.0678
a52,2015,73,0.2031
a52,2015,73,0.123
a52,2015,73,0.1033
a52,2015,73,0.7482
a52,2015,73,0.7829
a52,2015,107,0.2735
a52,2015,107,0.5178
a52,2015,107,0.0112
a52,2015,107,0.1777
a52,2015,107,0.4889
a52,2015,107,0.1276
a53,2016,15,0.1473
a53,2016,15,0.1153
a53,2016,15,0.0139
a53,2016,15,0.2298
a53,2016,15,0.0619
a53,2016,15,0.0932
a53,2016,15,0.4229
a54,2016,12,0.3787
a54,2016,12,0.2756
a54,2016,12,1.224
a54,2016,12,0.1865
a54,2016,12,1.4429
a54,2016,12,0.8237
a54,2016,12,0
a54,2016,12,0
a55,2016,64,0.5521
a55,2016,64,0.1345
a55,2016,64,0.3904
a56,2016,30,0.1693
a56,2016,30,0.2845
a57,2016,40,0.0611
a57,2016,40,0.0136
a58,2015,24,0.2666
a58,2015,23,0.585
a58,2015,18,0.1241
a58,2015,16,0.0158
a58,2015,16,0.2482
a58,2015,16,0.1788
a58,2015,16,0.0021
a61,2017,19,0.2405
a61,2017,17,0.012
a63,2017,21,0.3119
a63,2017,21,0.8651
a63,2017,21,0.1122
a65,2017,15,0.0792
a65,2017,15,0.009
a65,2017,17,0.0399
a65,2017,17,0.0075
a65,2017,6,0.1834
a65,2017,6,0.0212
a65,2017,6,0.011
a65,2017,6,0.0676
a65,2017,6,0.0167
a65,2017,6,0.0594
a65,2017,6,0.1032
a65,2017,6,0.0581
a66,2016,11,0.2229
a66,2016,10,0.5239
a66,2016,36,0.2763
a67,2016,20,0.3716
a67,2016,20,0.0991
a67,2016,14,0.8694
a68,2017,12,0.1411
a68,2017,12,0.2741
a68,2017,12,0.0235
a68,2017,12,0.1692
a69,2017,18,0.2705
a69,2017,18,0.1934
a69,2017,18,0.0946
a69,2017,18,0.1271
a69,2017,18,1.9965
a69,2017,18,1.2142
a69,2017,18,0.4937
a69,2017,18,0.2657
a69,2017,17,0.4628
a69,2017,17,0.1178
a69,2017,17,0.0753
a69,2017,18,0.5097
a69,2017,17,0.9174
a69,2017,9,0.1443
a69,2017,9,0.0023
a69,2017,14,0.0195
a69,2017,14,0.0821
a69,2017,13,0.1277
a69,2017,13,0.2584
a69,2017,8,0.1914
a70,2017,35,0.0898
a70,2017,35,0.0496
a70,2017,19,0.1574
a70,2017,19,0.383
a72,2018,24,0.2111
a72,2018,24,0.2096
a72,2018,24,0.1234
a72,2018,24,0.0337
