loc,species,treatment,animal_id,SL,size,attraction,comment
LIRS 2014,Chromis,control,Tank 4 fish 6_2,43.18676155,big,10.66346696,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 8 fish 2,43.18676155,big,20.74737262,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 7 fish 2,35.30653809,big,9.359545017,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 6 fish 3,37.05769886,big,30.36520904,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 5 tank 1 fish 3,35.30653809,big,21.94170709,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 5 fish 8,37.93327925,big,29.22326793,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 5 fish 2,35.30653809,big,20.5848389,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 5 fish 4,48.44024386,big,29.05223185,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 2,51.9425654,big,18.44914064,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 3,38.80885963,big,36.83253528,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 1 fish 1,38.80885963,big,27.04026406,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 1 fish 2,37.93327925,big,36.62030967,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 1 fish 4,37.93327925,big,30.80094746,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 7 fish 2,43.18676155,big,20.19347044,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 7 fish 3,37.05769886,big,40.58066206,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 3 fish 1,37.05769886,big,50.35706836,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 3 fish 2,52.81814578,big,11.71151074,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 8 fish 1,36.18211848,big,62.62653502,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 8 fish 4,43.18676155,big,12.6484782,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 3,35.30653809,big,29.78307582,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 6,37.05769886,big,28.26086562,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 7,37.05769886,big,33.94743122,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 1,38.80885963,big,19.66128497,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 3,43.18676155,big,41.34941351,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 3 fish 1,63.3251104,big,13.01045599,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 3 fish 6,41.43560078,big,23.25343363,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 7 fish 1,38.80885963,big,49.65811966,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 7 fish 2,37.05769886,big,7.965199885,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 7 fish 6,57.19604771,big,43.24716103,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 8 fish 1,43.18676155,big,51.47295082,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 8 fish 5,40.5600204,big,31.26894545,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 3,45.81350271,big,48.65552634,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 5,61.57394963,big,50.55334163,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 2 fish 1,54.56930655,big,45.83677867,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 5 fish 1,63.3251104,big,35.44986726,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 2,39.68444001,big,55.70944107,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 3,41.43560078,big,17.79560076,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 5,48.44024386,big,48.3658052,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2016,Acantho,control,55,41,big,50.38870362,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,60,41,big,49.77181163,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,65,46,big,50.15036374,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,70,51,big,49.76349908,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,75,49,big,49.39279732,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,80,36,big,2.707232029,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,85,39,big,51.39862779,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,95,51,big,22.72759731,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,100,39,big,39.31247238,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,105,42,big,42.43770189,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,110,43,big,57.56229811,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,115,39,big,14.69457928,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,120,41,big,16.73061875,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,125,40,big,28.52741611,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,130,44,big,33.96967327,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,140,41,big,26.18770815,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,145,36,big,50,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,150,40,big,26.71269764,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,155,40,big,45.30600928,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,165,38,big,45.36671214,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,220,41,big,18.57485524,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,235,45,big,25.52962865,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,255,39,big,14.42572183,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,295,36,big,4.007957841,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,300,44,big,53.18504079,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,315,40,big,43.27327623,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
