Location,Species,Treatment,Fish_ID,SL_mm,Size_group,Time_in_cue,Comment
AIMS 2015,Acantho,CO2,428,9.30716581,small,67.4480737,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,429,9.30716581,small,29.20875421,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,430,9.30978653,small,49.04166667,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,431,9.30978653,small,66.93003356,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,432,9.312305639,small,56.96588736,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,433,9.312305639,small,43.42647594,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,434,9.315070308,small,50.71070234,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,435,9.315070308,small,87.8683129,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,436,9.31768256,small,46.875,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,437,9.31768256,small,50,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,438,9.320205903,small,49.03866729,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,439,9.320205903,small,43.14287929,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,440,9.323040429,small,58.34731544,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,441,9.323040429,small,47.89375372,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,442,9.325603993,small,40.04166667,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,443,9.325603993,small,47.56136385,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,444,9.328214128,small,40.31493232,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,445,9.328214128,small,63.34111121,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,446,9.330754406,small,83.20833333,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,447,9.330754406,small,69.95325002,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,448,9.333301035,small,39.08333333,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,449,9.333301035,small,58.16107383,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,450,9.335828611,small,23.09267911,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,451,9.335828611,small,42.84508248,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,452,9.338449331,small,41.69629939,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,453,9.338449331,small,19.81658104,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,500,10.39385007,small,58.91938861,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,501,10.39385007,small,51.38070988,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,502,10.39633108,small,45.83144891,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,503,10.39633108,small,41.76151913,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,504,10.39882478,small,59.17195326,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,505,10.39882478,small,74.84307094,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
