location,year,date,time,treatment,variable,value
LIRS,2014,8_25,5_00_00 PM,CO2,pCO2,810.0
LIRS,2014,8_25,8_25_00 PM,CO2,pCO2,900.0
LIRS,2014,8_26,8_30_00 AM,CO2,pCO2,810.0
LIRS,2014,8_26,3_05_00 PM,CO2,pCO2,750.0
LIRS,2014,8_26,5_05_00 PM,CO2,pCO2,740.0
LIRS,2014,8_26,7_50_00 PM,CO2,pCO2,810.0
LIRS,2014,8_27,8_00_00 AM,CO2,pCO2,850.0
LIRS,2014,8_27,10_00_00 AM,CO2,pCO2,940.0
LIRS,2014,8_27,2_40_00 PM,CO2,pCO2,940.0
LIRS,2014,8_27,7_20_00 PM,CO2,pCO2,950.0
LIRS,2014,8_28,8_30_00 AM,CO2,pCO2,990.0
LIRS,2014,8_28,9_05_00 AM,CO2,pCO2,980.0
LIRS,2014,8_28,6_55_00 PM,CO2,pCO2,970.0
LIRS,2014,8_29,8_30_00 AM,CO2,pCO2,1010.0
LIRS,2014,8_29,8_45_00 AM,CO2,pCO2,690.0
LIRS,2014,8_29,9_00_00 AM,CO2,pCO2,740.0
LIRS,2014,8_29,10_00_00 AM,CO2,pCO2,920.0
LIRS,2014,8_29,10_40_00 AM,CO2,pCO2,980.0
LIRS,2014,8_29,8_00_00 PM,CO2,pCO2,1050.0
LIRS,2014,8_30,9_10_00 AM,CO2,pCO2,1110.0
LIRS,2014,8_30,7_10_00 PM,CO2,pCO2,700.0
LIRS,2014,8_30,7_50_00 PM,CO2,pCO2,840.0
LIRS,2014,8_30,8_50_00 PM,CO2,pCO2,880.0
LIRS,2014,8_30,10_20_00 PM,CO2,pCO2,950.0
LIRS,2014,8_31,9_30_00 AM,CO2,pCO2,1100.0
LIRS,2014,8_31,12_40_00 PM,CO2,pCO2,1310.0
LIRS,2014,8_31,5_15_00 PM,CO2,pCO2,1030.0
LIRS,2014,9_1,11_00_00 AM,CO2,pCO2,1040.0
LIRS,2014,9_2,10_50_00 AM,CO2,pCO2,1000.0
LIRS,2014,9_3,11_10_00 AM,CO2,pCO2,990.0
LIRS,2014,9_4,5_10_00 PM,CO2,pCO2,980.0
LIRS,2014,9_6,8_45_00 AM,CO2,pCO2,1000.0
LIRS,2014,9_7,8_30_00 AM,CO2,pCO2,1030.0
LIRS,2014,9_8,4_50_00 PM,CO2,pCO2,1020.0
LIRS,2014,9_8,11_50_00 PM,CO2,pCO2,950.0
LIRS,2014,8_25,5_30_00 PM,CO2,pCO2,840.0
LIRS,2014,8_25,9_15_00 PM,CO2,pCO2,780.0
LIRS,2014,8_26,8_50_00 AM,CO2,pCO2,730.0
LIRS,2014,8_26,3_30_00 PM,CO2,pCO2,810.0
LIRS,2014,8_26,5_30_00 PM,CO2,pCO2,850.0
